case_id,image_width,image_height,is_landscape,ink_pixels,ink_density,stroke_darkness_mean,stroke_darkness_std,skeleton_length,skeleton_density,stroke_thickness_proxy,connected_components_count,small_components_count,largest_component_area,largest_component_area_ratio,mean_component_area,contour_count,endpoints_count,intersections_count,endpoints_per_skeleton_length,intersections_per_skeleton_length,components_per_ink_area,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,drawing_center_distance_norm,perseveration_score,distortion_proxy_score
26,1241,1755,0,28385,0.01303286798854889,89.75564558745816,45.573776935740604,6277,0.002882061383270086,4.522064679859477,114,68,5844,0.0026832510313573974,244.140350877193,90,304,127,0.04843077902685506,0.02023259518556116,0.004016205742328124,1106,1672,0.849068047778765,0.6614832531928927,0.4709911361804996,0.49886039886039885,0.016774350226088242,-0.7031572177094924,-0.5055727072364774
27,1755,1241,1,49183,0.02258219292868769,74.38838623101478,44.79415971451995,10561,0.004849044172170683,4.657040052584316,217,206,7762,0.0035638936525318474,218.46082949308754,179,731,337,0.06921693020838775,0.03190985701809394,0.004412093609490839,1729,1137,0.9026233324379981,1.5206684243441788,0.4997150997150997,0.5189363416599516,0.010935538433962607,-0.40237217193137664,0.5311220740720618
28,1241,1755,0,47678,0.021891177733240584,92.95889089307437,54.441004849873394,9341,0.004288885674864724,5.104164435809424,203,143,7748,0.003557465604202107,229.99014778325125,181,625,461,0.06690932447629704,0.0493523177337167,0.004257728931493399,1064,1670,0.8158478940106659,0.6371257481214816,0.43875906526994357,0.5102564102564102,0.03633615317257992,0.0652509140914083,0.44949329564937457
29,1241,1755,0,47199,0.02167124665110161,57.80590690480731,31.33542183343255,9075,0.004166752756599655,5.200991734964078,184,215,7103,0.0032613162347247763,247.43478260869566,146,672,327,0.07404958676869977,0.03603305784726908,0.0038983876776224414,1193,1619,0.8868259445213514,0.7368746135040922,0.49637389202256244,0.4683760683760684,0.02590537586747793,-0.3917608068946336,0.46133839960544
30,1241,1755,0,24049,0.0110420095915664,52.0685683396399,29.169668409302332,5402,0.002480308362661304,4.45186967707296,109,59,3740,0.0017172071966592515,216.43119266055047,101,252,63,0.04664938910650696,0.01166234727662674,0.004532412989956654,1048,1589,0.7646034927259746,0.6595342978857556,0.4315068493150685,0.4598290598290598,0.051377076014726894,-1.3674489675872417,-0.9566568806012955
31,1755,1241,1,67572,0.031025434409801857,74.38866690345114,53.96717721171559,14772,0.006782509280494776,4.57432981285037,250,191,8432,0.003871521679740858,264.14,192,843,595,0.05706742485397594,0.04027890603572442,0.003699757295866635,1729,1201,0.9534306264362671,1.4396336374357754,0.4997150997150997,0.5060435132957293,0.0034970211104674905,-0.05097399201803632,0.832239586539673
32,1755,1241,1,46659,0.02142330764409733,101.73021282067768,58.89576228423194,10180,0.004674109428339888,4.5833988207678384,196,243,6645,0.003051027225080408,228.3622448979592,134,696,124,0.06836935166322501,0.012180746560689513,0.004200690113285739,1729,1146,0.9097681081565047,1.5087260021738864,0.4997150997150997,0.483883964544722,0.009307642637571618,-0.10827790691288301,0.1352445570051229
33,1241,1755,0,36002,0.016530185426236996,101.46811288261763,62.02275528860402,8457,0.0038830003374725375,4.257065152624209,131,137,7575,0.003478033292698885,266.67175572519085,104,464,176,0.05486579164539839,0.02081116234825456,0.0036386867395245075,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,-0.5139150673840165,-0.01601484860318747
34,1241,1755,0,35904,0.016485189087928814,145.56528520499108,66.66371365134509,6665,0.0030602101512657515,5.386946735875926,120,87,6756,0.003101992465409065,293.75,107,321,199,0.04816204050290142,0.029857464361611782,0.0033422459892117245,1198,1709,0.9400478889600565,0.7009947333522558,0.5048348106365834,0.49401709401709404,0.005626288107588341,0.7072977864184037,-0.03556495297695156
35,1241,1755,0,38161,0.017521482307944838,99.53567778622154,60.931112740929464,7805,0.0035836369438303362,4.889301729034042,148,142,5943,0.002728706515974848,249.10135135135135,119,472,159,0.06047405508514105,0.020371556691816582,0.003878305075761162,1075,1698,0.8381027156208462,0.633097761700178,0.5141015310233682,0.5017094017094017,0.008260409504713472,-0.15994327696811925,-0.25643208152312735
