case_id,skeleton_length_deviation,endpoints_deviation,intersections_deviation,components_deviation,contours_deviation,ink_density_deviation,skeleton_density_deviation,template_deviation_score
35,0.1617441735407857,0.6275862047324614,1.0649350511047397,0.33333333033033036,0.16666666503267977,1.161678478245926,1.9351888772772985,0.7787332543234601
36,0.2385350660252889,0.06206896530321047,6.337662255355036,0.0540540535670806,0.11764705767012688,1.2645422418749266,1.6663772709133093,1.3915552729584257
37,0.45236816663598234,3.4827586086801428,4.54545448642267,2.351351330168006,1.8235293938869668,3.5234667427144335,4.0849298076121645,2.8948369337314808
38,0.20502631294114204,0.9827586173008324,1.3766233587451513,0.42342341960879804,0.32352940859284895,1.2229096062651688,1.783676880963013,0.9025639434881363
39,0.4338953924998501,2.0379310274554103,5.805194729802666,1.234234223115007,1.0392156760861209,2.7154537536353076,4.020264637969397,2.4694556343662515
40,0.25464504346959027,0.09310344795481569,1.1168831023781416,0.0,0.0,1.0330987737096746,1.6099832276201402,0.5868162278760518
41,0.1977231231663921,0.3137931023662307,4.142857089053805,0.2972972946189433,0.24509803681276435,1.0601741476164257,1.809242180589267,1.1523121391748323
42,0.09376006872583395,0.7068965492865636,2.5454545123966947,0.6036035981657334,0.5098039165705498,1.2988679251123563,2.173171739974373,1.1330797586045862
43,0.17226935880439595,0.9137931002972651,0.6363636280991737,0.540540535670806,0.4215686233179547,0.7592296673516266,1.8983447689924273,0.7631585260762357
44,0.09311566962806189,1.362068960820452,4.792207729971328,0.7477477410112816,0.5098039165705498,1.6064962842913837,2.8273426421749237,1.705540420638283
45,0.2455160562511528,1.151724133959572,0.5844155768257717,0.693693687444201,0.5098039165705498,0.9661466984841918,1.6419398521529172,0.8276057030983367
46,0.10450005368870152,1.737931028489893,3.0519480123123635,0.7747747677948219,0.45098038773548643,1.0998242767685702,2.1355757111122875,1.3365048911288748
47,0.33669852858589855,2.5103448189298456,3.9870129352335986,1.4774774641668698,1.2843137128988853,1.9744494828233035,3.680020576767388,2.1786167884865413
48,0.022768768121279263,1.027586203353151,1.1688311536515434,0.41441441068095125,0.2647058797577855,1.2576884338357734,2.421681490752851,0.9396680485933336
49,0.2038449145952266,2.910344817550535,5.766233691347614,1.7207207052187323,1.2941176343713958,2.4925067417169475,3.2149576997432083,2.514675172077666
50,0.2638814305376564,0.4448275846730083,0.7922077819193795,0.19819819641262887,0.05882352883506344,1.1590162552885623,1.5776506427987154,0.6420864886378591
51,0.593921168446577,3.0275861964565993,5.064934999156688,2.2612612408895383,1.980392137447136,2.9210113517683727,4.580445468014693,2.9185075088828007
52,0.016432176993187393,1.2413793060642093,2.7922077559453538,1.0900900802694589,0.990196068723568,1.7590926384854968,2.4438631477815203,1.4761801677518278
53,0.23434647188977054,0.9724137897502972,7.558441460279981,0.6396396338771204,0.4803921521530181,2.792884791565284,3.3217304217115085,2.2856926744609973
54,0.07850929007856199,0.489655170725327,5.4025973324338015,0.3783783749695642,0.28431372270280664,1.993934689149513,2.7762120429224977,1.6290858032831532
55,0.06572870797274957,0.634482756432818,3.3506493071344248,0.38738738389741095,0.28431372270280664,2.2743743883384893,2.731472768576593,1.3897727192936133
56,0.0350123509789483,4.782758604197384,4.29870124287401,1.3243243123934747,0.7549019533833142,1.0510546179114335,2.623948126030998,2.124385886824223
57,0.3909354526483798,0.1517241374078478,1.181818166469894,0.0540540535670806,0.06862745030757401,0.6561959745976881,1.1328896213600474,0.5194635509083588
58,0.34894211144356757,0.4241379295719382,0.6623376537358746,0.30630630354679006,0.32352940859284895,0.7915728441314428,1.2798900942108864,0.5909594778904783
59,0.3377725270821853,0.11724137890606422,0.5584415511890708,0.09009008927846766,0.0784313717800846,1.044653954205443,1.3189899642274816,0.5065172623812567
60,0.36268929219603807,0.47586206732461356,0.1558441538202058,0.22522522319616917,0.24509803681276435,0.41908820226784577,1.2317671772673973,0.44508202184071916
61,0.46428954994476535,0.020689655101070153,0.8701298588294823,0.1081081071341612,0.12745097914263745,0.5619419532988665,0.8761087442318893,0.4326741210975532
62,0.03469015143006227,0.09310344795481569,4.402597345420814,0.03603603571138707,0.05882352883506344,1.271112834705855,2.379949898715967,1.1823304632534235
63,0.18086134677469,1.6793103390368609,5.3766233067971,1.0990990891973056,0.6960784245482508,1.467607546175565,3.134502197978295,1.9477260357868666
64,0.18891633549684067,0.5551724118787158,1.7402597176589647,0.2432432410518627,0.1470588220876586,0.6450372953934327,1.8400709242561823,0.7656798211176653
65,0.12179142947891833,0.14137930985731273,3.038960999494013,0.12612612498985473,0.08823529325259517,1.0887222406059773,2.0750461046443194,0.9543230717604273
66,0.08097948662002154,0.8620689625445898,3.3506493071344248,0.42342341960879804,0.24509803681276435,1.591372592171914,2.217911014320277,1.2530718313161127
67,0.3652668885871263,0.2793103438644471,0.9610389485579358,0.17117116962908857,0.20588235092272206,0.7434262587324063,1.2227441303405033,0.564120012947747
68,0.27687681234272615,0.6551724115338883,1.6753246535672124,0.44144143746449155,0.2549019582852749,0.6807790546720128,1.5321594478755975,0.7880936822487434
69,0.2773064117412408,0.6689655149346017,1.1038960895597911,0.39639639282525774,0.22549019386774322,0.9433195527008804,1.530655606721088,0.7351471089072289
70,0.38062506708402694,0.044827586052318666,0.051948051273401935,0.20720720534047563,0.17647058650519035,0.7000943318732725,1.1689818090677053,0.3900220910280559
